Wall time,Step,Value
1737417685.8119905,291,-11.51282787322998
1737418957.1640124,292,-11.243125915527344
1737420231.4533837,293,-11.482474327087402
1737421530.9375126,294,-11.463502883911133
1737422816.3475487,295,-11.196717262268066
1737424097.9317985,296,-11.547317504882812
1737425379.8748124,297,-11.65402603149414
1737426666.2920325,298,-11.66580867767334
1737427952.9273574,299,-11.48619270324707
1737431866.7531335,300,-11.66793441772461
1737433138.3707032,301,-11.606579780578612
1737434099.4759552,302,-11.66476821899414
1737435209.575034,303,-11.45180606842041
1737436449.3730173,304,-11.56923007965088
1737437597.02504,305,-11.494285583496094
1737438612.0388024,306,-11.740792274475098
1737439632.571062,307,-11.764725685119627
1737440716.969215,308,-11.665969848632812
1737441770.2702563,309,-11.79592227935791
1737442701.7974324,310,-11.838727951049805
1737443633.1510458,311,-11.914612770080566
1737444564.7001958,312,-11.701566696166992
1737445495.9594605,313,-11.714178085327148
1737446427.474959,314,-11.749520301818848
1737447360.5994923,315,-11.81501007080078
1737448298.239184,316,-11.757407188415527
1737449240.14816,317,-12.04008674621582
1737450174.554813,318,-11.784382820129396
1737451104.960139,319,-11.834790229797363
1737452052.1731997,320,-12.073317527770996
1737453141.582744,321,-11.955710411071776
1737454148.0688298,322,-12.146738052368164
1737455184.5711052,323,-11.289101600646973
1737456336.1846287,324,-11.861955642700195
1737457335.0831227,325,-11.363598823547363
1737458675.5910676,326,-11.75003147125244
1737460601.6211462,327,-11.95661163330078
1737461751.4777422,328,-11.934404373168944
1737462901.432951,329,-11.619240760803224
1737464053.9067626,330,-11.900256156921388
1737465203.813287,331,-11.86790943145752
1737466365.6950011,332,-11.837409019470217
1737467522.98885,333,-11.852831840515137
1737468672.438038,334,-11.579083442687988
1737469822.5397525,335,-11.602195739746094
1737470973.6816883,336,-11.8435697555542
1737472123.637568,337,-11.870298385620115
1737473280.699889,338,-11.541936874389648
1737474429.9249182,339,-11.931059837341309
1737475587.3214097,340,-11.699148178100586
1737476745.630317,341,-11.893217086791992
1737477895.9415598,342,-11.95361042022705
1737479044.969322,343,-12.089995384216309
1737480201.8575091,344,-11.906656265258787
1737481351.652349,345,-12.08517837524414
1737482503.4289992,346,-12.170692443847656
1737483653.4819431,347,-12.23263168334961
1737484802.4244254,348,-12.26735496520996
1737485960.0529282,349,-12.12165641784668
1737487110.462194,350,-11.71310329437256
1737488259.6960735,351,-12.110651016235352
1737489412.6940408,352,-12.108841896057127
1737490563.7124343,353,-12.310072898864746
1737491714.5088103,354,-12.22830867767334
1737492864.0928354,355,-12.315601348876951
1737494013.7263775,356,-12.320873260498049
1737495165.9237394,357,-12.431878089904783
1737496323.2815204,358,-12.253307342529297
1737497474.234978,359,-11.272571563720703
1737498623.7076557,360,-11.778568267822266
1737499773.898719,361,-12.317435264587402
1737500924.421715,362,-11.347552299499512
1737502074.227446,363,-12.07504653930664
1737503227.2970445,364,-11.922425270080566
1737504378.9585605,365,-12.139039039611816
1737505529.91789,366,-12.217156410217283
1737506682.1009486,367,-12.1965970993042
1737507832.8902426,368,-11.96286964416504
1737508983.3532174,369,-12.273430824279783
1737510135.180817,370,-12.20030403137207
1737511286.2096567,371,-12.226996421813965
1737512445.1868944,372,-12.502771377563477
1737513595.7650447,373,-12.135404586791992
1737514746.874827,374,-12.390485763549805
1737515897.6570537,375,-12.541306495666504
1737517047.1331544,376,-12.46729564666748
1737518012.0277352,377,-12.20634937286377
1737519202.6780114,378,-12.175779342651367
1737520326.80665,379,-12.17308521270752
1737521279.6625228,380,-12.41279125213623
1737522222.6819837,381,-12.492198944091797
1737523507.9058678,382,-12.51731300354004
1737524829.2519686,383,-12.350428581237791
1737526180.4661942,384,-12.267861366271973
1737527512.3135223,385,-12.231221199035645
1737528872.6015656,386,-12.394654273986816
1737530050.4302497,387,-12.43906021118164
1737531372.9475832,388,-12.515634536743164
1737532717.6881874,389,-12.326034545898438
1737534005.1678894,390,-12.309990882873535
1737535165.6309218,391,-12.501742362976074
1737536208.473805,392,-12.417561531066896
1737537514.0012286,393,-12.528387069702148
1737538669.705207,394,-12.49912166595459
1737539811.748873,395,-12.628609657287598
1737540761.2109916,396,-12.672246932983398
1737541828.4428325,397,-12.361587524414062
1737543077.142955,398,-12.26891803741455
1737544327.020079,399,-12.3345365524292
1737545563.9181678,400,-12.35937786102295
1737546794.9543762,401,-12.673548698425291
1737547773.4680183,402,-12.650404930114746
1737548696.1248238,403,-12.55878734588623
1737549618.8291526,404,-12.523061752319336
1737550541.5982306,405,-12.687959671020508
1737551464.24485,406,-12.61798858642578
1737552386.9902325,407,-12.733465194702148
1737553309.8872547,408,-12.801101684570312
1737554232.8227985,409,-12.760246276855469
1737555155.4626532,410,-12.787847518920898
1737556078.06169,411,-12.84999942779541
1737557000.5943818,412,-12.874468803405762
